id,start,end,length,remove,change,new name,new start,new end,Explanation
114_Hinkel_Breyer_MitchellvWisconsin.mp3,1515.08,1520.96,5.88,,,,,,
115_Breyer_Hinkel_MitchellvWisconsin.mp3,1518.96,1521.84,2.88,,,,,,
116_Hinkel_Breyer_MitchellvWisconsin.mp3,1520.96,1522.24,1.28,,,,,,
117_Breyer_Hinkel_MitchellvWisconsin.mp3,1521.84,1526.24,4.4,,,,,,
118_Hinkel_Roberts_MitchellvWisconsin.mp3,1550.56,1553.36,2.8,,,,,,
119_Roberts_Hinkel_MitchellvWisconsin.mp3,1552.56,1557.36,4.8,1,,,,,formal turn change
120_Hinkel_Roberts_MitchellvWisconsin.mp3,1561.52,1565.72,4.2,1,,,,,no turn change
121_Roberts_Jurss_MitchellvWisconsin.mp3,1563.52,1569.72,6.2,1,,,,,MIPTC
122_Jurss_Breyer_MitchellvWisconsin.mp3,1620.12,1626.12,6,,,,,,
123_Breyer_Jurss_MitchellvWisconsin.mp3,1648.92,1654.92,6,,,,,,
124_Jurss_Kagan_MitchellvWisconsin.mp3,1729.32,1735.32,6,,,,,,
125_Kagan_Jurss_MitchellvWisconsin.mp3,1742.92,1745.64,2.72,,,,,,
126_Jurss_Kagan_MitchellvWisconsin.mp3,1744.92,1749.64,4.72,,,,,,
127_Kagan_Jurss_MitchellvWisconsin.mp3,1750.44,1753.16,2.72,1,,,,,no turn change
128_Jurss_Kagan_MitchellvWisconsin.mp3,1752.44,1757.16,4.72,1,,,,,no turn change
129_Kagan_Jurss_MitchellvWisconsin.mp3,1759.84,1765.84,6,,,,,,
130_Jurss_Kagan_MitchellvWisconsin.mp3,1785.16,1791.16,6,,,,,,
131_Kagan_Jurss_MitchellvWisconsin.mp3,1789.44,1795.44,6,,,,,,
132_Jurss_Kagan_MitchellvWisconsin.mp3,1794.48,1797.48,3,,,,,,
133_Kagan_Jurss_MitchellvWisconsin.mp3,1796.48,1801.48,5,,,,,,
134_Jurss_Kagan_MitchellvWisconsin.mp3,1853.24,1859.24,6,,,,,,
135_Kagan_Jurss_MitchellvWisconsin.mp3,1874.24,1876.36,2.12,,,,,,
136_Jurss_Kagan_MitchellvWisconsin.mp3,1876.24,1880.36,4.12,,,,,,
137_Kagan_Jurss_MitchellvWisconsin.mp3,1887.84,1893.84,6,,,,,,
138_Jurss_Sotomayor_MitchellvWisconsin.mp3,1941.4,1947.4,6,,,,,,
139_Sotomayor_Jurss_MitchellvWisconsin.mp3,1947.08,1949.8,2.72,,,,,,
140_Jurss_Sotomayor_MitchellvWisconsin.mp3,1949.08,1950.68,1.6,,,,,,
141_Sotomayor_Jurss_MitchellvWisconsin.mp3,1949.8,1951.48,1.68,,,,,,
142_Jurss_Sotomayor_MitchellvWisconsin.mp3,1950.68,1955.48,4.8,,,,,,
143_Sotomayor_Jurss_MitchellvWisconsin.mp3,1966.08,1968.8,2.72,,,,,,
144_Jurss_Sotomayor_MitchellvWisconsin.mp3,1968.08,1972.8,4.72,,,,,,
145_Sotomayor_Jurss_MitchellvWisconsin.mp3,2019.96,2025.96,6,,,,,,
146_Jurss_Sotomayor_MitchellvWisconsin.mp3,2024.16,2030.16,6,,,,,,
147_Sotomayor_Jurss_MitchellvWisconsin.mp3,2045.56,2051.56,6,,,,,,
148_Jurss_Ginsburg_MitchellvWisconsin.mp3,2061.12,2067.12,6,,,,,,
149_Ginsburg_Jurss_MitchellvWisconsin.mp3,2092.88,2096.64,3.76,,,,,,
150_Jurss_Ginsburg_MitchellvWisconsin.mp3,2094.88,2100.64,5.76,,,,,,
151_Ginsburg_Jurss_MitchellvWisconsin.mp3,2115.52,2121.52,6,,,,,,
152_Jurss_Gorsuch_MitchellvWisconsin.mp3,2152.96,2158.96,6,,,,,,
153_Gorsuch_Jurss_MitchellvWisconsin.mp3,2161.12,2163.6,2.48,,,,,,
154_Jurss_Gorsuch_MitchellvWisconsin.mp3,2163.12,2167.6,4.48,1,,,,,no turn change
155_Gorsuch_Jurss_MitchellvWisconsin.mp3,2216,2222,6,,,,,,
156_Jurss_Gorsuch_MitchellvWisconsin.mp3,2231.08,2237.08,6,,,,,,
157_Gorsuch_Jurss_MitchellvWisconsin.mp3,2247.28,2253.28,6,,,,,,
158_Jurss_Gorsuch_MitchellvWisconsin.mp3,2264.36,2270.36,6,,,,,,
159_Gorsuch_Jurss_MitchellvWisconsin.mp3,2292.24,2298.24,6,1,,,,,no turn change
160_Jurss_Alito_MitchellvWisconsin.mp3,2329.12,2332.48,3.36,,,,,,
161_Alito_Roberts_MitchellvWisconsin.mp3,2331.12,2336.48,5.36,,,,,,
162_Roberts_Jurss_MitchellvWisconsin.mp3,2342.92,2348.92,6,,,,,,
163_Jurss_Roberts_MitchellvWisconsin.mp3,2350.8,2356.6,5.8,,,,,,
164_Roberts_Jurss_MitchellvWisconsin.mp3,2354.6,2357,2.4,,,,,,
165_Jurss_Roberts_MitchellvWisconsin.mp3,2356.6,2361,4.4,1,,,,,no turn change
166_Roberts_Jurss_MitchellvWisconsin.mp3,2359.08,2365.08,6,,,,,,
167_Jurss_Alito_MitchellvWisconsin.mp3,2367.04,2373.04,6,,,,,,
168_Alito_Jurss_MitchellvWisconsin.mp3,2400.64,2406.64,6,,,,,,
169_Jurss_Ginsburg_MitchellvWisconsin.mp3,2408.04,2414.04,6,,,,,,
170_Ginsburg_Jurss_MitchellvWisconsin.mp3,2453.88,2459.88,6,,,,,,
171_Jurss_Kavanaugh_MitchellvWisconsin.mp3,2488.04,2494.04,6,,,,,,
172_Kavanaugh_Jurss_MitchellvWisconsin.mp3,2496.16,2502.16,6,,,,,,
173_Jurss_Sotomayor_MitchellvWisconsin.mp3,2507.2,2510.24,3.04,,,,,,
174_Sotomayor_Kavanaugh_MitchellvWisconsin.mp3,2509.2,2510.88,1.68,,,,,,
175_Kavanaugh_Sotomayor_MitchellvWisconsin.mp3,2510.24,2512.36,2.12,1,,,,,second speaker inaudible
176_Sotomayor_Kavanaugh_MitchellvWisconsin.mp3,2510.88,2512.52,1.64,1,,,,,first speaker inaudible
177_Kavanaugh_Sotomayor_MitchellvWisconsin.mp3,2512.36,2516.52,4.16,,,,,,
178_Sotomayor_Jurss_MitchellvWisconsin.mp3,2538.76,2541.84,3.08,,,,,,
179_Jurss_Sotomayor_MitchellvWisconsin.mp3,2540.76,2545.84,5.08,,,,,,
180_Sotomayor_Jurss_MitchellvWisconsin.mp3,2554.52,2560.52,6,,,,,,
181_Jurss_Kavanaugh_MitchellvWisconsin.mp3,2636.08,2642.08,6,,,,,,
182_Kavanaugh_Jurss_MitchellvWisconsin.mp3,2641.56,2643.6,2.04,1,,,,,no turn change
